Mens Div 1,Beeston Fields 1st,Bingham 3rd,Carlton 1st,Forest 1st,Mapperley Park 1st,Mapperley Park 2nd,Rolls Royce 2nd,University 2nd,
Mens Div 3A,Beeston Fields 2nd,Beeston Valley 1st,Boots 1st,Byron 3rd,David Lloyd Aspley 1st,Kimberley 1st,Naseeb 3rd,,
Mixed Div 1,Beeston Fields 1st,Bingham 3rd,Forest 1st,Forest 2nd,Mansfield Oaktree,Mapperley Park 2nd,Phoenixwood 1st,University 2nd,
Mixed Div 2A,Beeston Fields 2nd,Bingham 4th,Carlton 1st,East Leake 1st,Nottingham Vets 1st,St Giles 1st,University 3rd,,
Mixed Div 3A,Beeston Fields 3rd,Boots 1st,David Lloyd Aspley,Nottingham Vets 2nd,Rushcliffe Arena 1st,Southwell Centre 1st,St Giles 2nd,,
Mixed Div 4B,Beeston Fields 4th,Byron 4th,Carlton 3rd,Mapperley Park 4th,Southwell Centre 2nd,University 4th,University Staff,,
Premier Ladies,Beeston Fields 1st,Bingham 1st,Byron 1st,East Leake,Forest 1st,Phoenixwood 1st,West Bridgford &amp; LE,,
Ladies Division 4,Beeston Fields 2nd,Beeston Valley 2nd,Carlton 2nd,Redhill,Rushcliffe Arena,St Giles 2nd,Trent Uni Students,,
