Mens Div 3A,Beeston Fields 2nd,Beeston Valley 1st,Boots 1st,Byron 3rd,David Lloyd Aspley 1st,Kimberley 1st,Naseeb 3rd,,
Mens Div 5A,Arboretum 2nd,David Lloyd Aspley 2nd,Experian,Kimberley 2nd,Phoenixwood 3rd,Southwell Centre 3rd,Trent Uni Students 1st,Unity 2nd,
Mixed Div 3B,Arboretum 1st,Beeston Valley 1st,Boots 2nd,Crusader 1st,East Leake 2nd,Kimberley 1st,Phoenixwood 3rd,,
Mixed Div 5A,Arboretum 2nd,Boots 3rd,Byron 5th,Kimberley 3rd,Nottingham Vets 3rd,St Giles 4th,Unity,,
Mixed Div 5B,Beeston Valley 3rd,Kimberley 2nd,Nottingham Vets 4th,Phoenixwood 5th,Redhill 2nd,Rushcliffe Arena 2nd,St Giles 3rd,Trent Uni Students,
Ladies Division 3,Arboretum,Beeston Valley 1st,Boots,Byron 2nd,Kimberley,St Giles 1st,University 2nd,,
