Mens Div 1,Mapperley Park 1st,University 2nd,University 1st,Byron 2nd,Bingham 3rd,Mapperley Park 2nd,Forest 2nd,East Leake 1st,
Mens Div 3A,Rolls Royce 3rd,University 4th,Phoenixwood 2nd,Boots 2nd,Beeston Valley 1st,Kimberley 1st,Redhill 1st,,
Mens Div 3B,Beeston Fields 2nd,University 3rd,Naseeb 2nd,St Giles 1st,East Leake 2nd,Carlton 3rd,David Lloyd WB,,
Premier Mixed,Bingham 1st,Byron 2nd,Byron 1st,Forest 1st,West Bridgford &amp; LE 1st,Bingham 2nd,Beeston Fields 1st,University 1st,
Mixed Div 1,Bingham 3rd,West Bridgford &amp; LE 2nd,University 2nd,Mansfield Oaktree,Forest 2nd,Mapperley Park 1st,East Leake 1st,Phoenixwood 1st,
Mixed Div 3A,St Giles 1st,Beeston Fields 3rd,University 3rd,David Lloyd Aspley 1st,Boots 1st,Mapperley Park 4th,Byron 4th,,
Mixed Div 5B,Carlton 3rd,Beeston Valley 3rd,Rushcliffe Arena 2nd,Unity,St Giles 3rd,University 4th,Phoenixwood 5th,,
Ladies Division 2,University 1st,Carlton,Forest 2nd,Crusader,Beeston Valley 1st,Rolls Royce,,,
Ladies Division 4,St Giles 1st,University 2nd,Byron 2nd,Trent Uni Students,Beeston Valley 2nd,St Giles 2nd,,,
