Mens Div 4A,West Bridgford &amp; LE 3rd,East Leake 3rd,Nottingham Vets 2nd,Beeston Valley 2nd,David Lloyd Aspley 1st,St Giles 2nd,Woodborough 1st,,
Mens Div 5B,East Leake 4th,Beeston Valley 3rd,Redhill 2nd,St Giles 3rd,Unity,Woodborough 2nd,,,
