Mens Div 3B,Arboretum 1st,Boots 2nd,Carlton 2nd,East Leake 2nd,Naseeb 2nd,Southwell Centre 1st,West Bridgford &amp; LE 3rd,,
Mens Div 4B,Byron 4th,East Leake 4th,Forest 3rd,Phoenixwood 2nd,Radcliffe Knights,Redhill 1st,Southwell Centre 2nd,,
Mens Div 5A,Arboretum 2nd,David Lloyd Aspley 2nd,Experian,Kimberley 2nd,Phoenixwood 3rd,Southwell Centre 3rd,Trent Uni Students 1st,Unity 2nd,
Mixed Div 3A,Beeston Fields 3rd,Boots 1st,David Lloyd Aspley,Nottingham Vets 2nd,Rushcliffe Arena 1st,Southwell Centre 1st,St Giles 2nd,,
Mixed Div 4B,Beeston Fields 4th,Byron 4th,Carlton 3rd,Mapperley Park 4th,Southwell Centre 2nd,University 4th,University Staff,,
Ladies Division 2,Carlton 1st,Crusader,Forest 2nd,Mapperley Park 2nd,Nottingham Vets 2nd,Phoenixwood 2nd,Southwell Centre,,
