Premier Mens,Bingham 1st,Bingham 2nd,Byron 1st,Byron 2nd,Rolls Royce 1st,University 1st,West Bridgford &amp; LE 1st,West Bridgford &amp; LE 2nd,
Mens Div 1,Beeston Fields 1st,Bingham 3rd,Carlton 1st,Forest 1st,Mapperley Park 1st,Mapperley Park 2nd,Rolls Royce 2nd,University 2nd,
Mens Div 2A,Forest 2nd,Bingham 4th,Nottingham Vets 1st,Mapperley Park 3rd,Naseeb 1st,Rolls Royce 3rd,University 4th,,
Mixed Div 2B,Bingham 5th,Byron 3rd,Forest 3rd,Mapperley Park 3rd,Phoenixwood 2nd,Rolls Royce,West Bridgford &amp; LE 3rd,,
Ladies Division 1,Bingham 2nd,Bingham 3rd,Mansfield Oaktree,Mapperley Park 1st,Nottingham Vets 1st,Rolls Royce,University 1st,,
