Mens Div 1,Beeston Fields 1st,Bingham 3rd,Carlton 1st,Forest 1st,Mapperley Park 1st,Mapperley Park 2nd,Rolls Royce 2nd,University 2nd,
Mens Div 3B,Arboretum 1st,Boots 2nd,Carlton 2nd,East Leake 2nd,Naseeb 2nd,Southwell Centre 1st,West Bridgford &amp; LE 3rd,,
Mens Div 4A,Beeston Valley 2nd,Carlton 3rd,East Leake 3rd,Nottingham Vets 2nd,Rushcliffe Arena 1st,St Giles 2nd,Unity 1st,,
Mixed Div 2A,Beeston Fields 2nd,Bingham 4th,Carlton 1st,East Leake 1st,Nottingham Vets 1st,St Giles 1st,University 3rd,,
Mixed Div 4A,Beeston Valley 2nd,Carlton 2nd,Crusader 2nd,East Leake 3rd,Mapperley Park 5th,Phoenixwood 4th,Redhill 1st,,
Mixed Div 4B,Beeston Fields 4th,Byron 4th,Carlton 3rd,Mapperley Park 4th,Southwell Centre 2nd,University 4th,University Staff,,
Ladies Division 2,Carlton 1st,Crusader,Forest 2nd,Mapperley Park 2nd,Nottingham Vets 2nd,Phoenixwood 2nd,Southwell Centre,,
Ladies Division 4,Beeston Fields 2nd,Beeston Valley 2nd,Carlton 2nd,Redhill,Rushcliffe Arena,St Giles 2nd,Trent Uni Students,,
