Mens Div 1,Beeston Fields 1st,Bingham 3rd,Carlton 1st,Forest 1st,Mapperley Park 1st,Mapperley Park 2nd,Rolls Royce 2nd,University 2nd,
Mens Div 2A,Forest 2nd,Bingham 4th,Nottingham Vets 1st,Mapperley Park 3rd,Naseeb 1st,Rolls Royce 3rd,University 4th,,
Mens Div 4B,Byron 4th,East Leake 4th,Forest 3rd,Phoenixwood 2nd,Radcliffe Knights,Redhill 1st,Southwell Centre 2nd,,
Mixed Div 1,Beeston Fields 1st,Bingham 3rd,Forest 1st,Forest 2nd,Mansfield Oaktree,Mapperley Park 2nd,Phoenixwood 1st,University 2nd,
Mixed Div 2B,Bingham 5th,Byron 3rd,Forest 3rd,Mapperley Park 3rd,Phoenixwood 2nd,Rolls Royce,West Bridgford &amp; LE 3rd,,
Premier Ladies,Beeston Fields 1st,Bingham 1st,Byron 1st,East Leake,Forest 1st,Phoenixwood 1st,West Bridgford &amp; LE,,
Ladies Division 2,Carlton 1st,Crusader,Forest 2nd,Mapperley Park 2nd,Nottingham Vets 2nd,Phoenixwood 2nd,Southwell Centre,,
