Mens Div 2B,Crusader,East Leake 1st,Mansfield Oaktree,Phoenixwood 1st,St Giles 1st,University 3rd,University Staff,,
Mens Div 4A,Beeston Valley 2nd,Carlton 3rd,East Leake 3rd,Nottingham Vets 2nd,Rushcliffe Arena 1st,St Giles 2nd,Unity 1st,,
Mens Div 5B,Arboretum 3rd,Beeston Valley 3rd,David Lloyd Aspley 3rd,Redhill 2nd,Rushcliffe Arena 2nd,St Giles 3rd,Trent Uni Students 2nd,Woodborough,
Mixed Div 2A,Beeston Fields 2nd,Bingham 4th,Carlton 1st,East Leake 1st,Nottingham Vets 1st,St Giles 1st,University 3rd,,
Mixed Div 3A,Beeston Fields 3rd,Boots 1st,David Lloyd Aspley,Nottingham Vets 2nd,Rushcliffe Arena 1st,Southwell Centre 1st,St Giles 2nd,,
Mixed Div 5A,Arboretum 2nd,Boots 3rd,Byron 5th,Kimberley 3rd,Nottingham Vets 3rd,St Giles 4th,Unity,,
Mixed Div 5B,Beeston Valley 3rd,Kimberley 2nd,Nottingham Vets 4th,Phoenixwood 5th,Redhill 2nd,Rushcliffe Arena 2nd,St Giles 3rd,Trent Uni Students,
Ladies Division 3,Arboretum,Beeston Valley 1st,Boots,Byron 2nd,Kimberley,St Giles 1st,University 2nd,,
Ladies Division 4,Beeston Fields 2nd,Beeston Valley 2nd,Carlton 2nd,Redhill,Rushcliffe Arena,St Giles 2nd,Trent Uni Students,,
