Premier Mens,Bingham 1st,Bingham 2nd,Byron 1st,Byron 2nd,Rolls Royce 1st,University 1st,West Bridgford &amp; LE 1st,West Bridgford &amp; LE 2nd,
Mens Div 3B,Arboretum 1st,Boots 2nd,Carlton 2nd,East Leake 2nd,Naseeb 2nd,Southwell Centre 1st,West Bridgford &amp; LE 3rd,,
Premier Mixed,Bingham 1st,Bingham 2nd,Byron 1st,Byron 2nd,Mapperley Park 1st,University 1st,West Bridgford &amp; LE 1st,West Bridgford &amp; LE 2nd,
Mixed Div 2B,Bingham 5th,Byron 3rd,Forest 3rd,Mapperley Park 3rd,Phoenixwood 2nd,Rolls Royce,West Bridgford &amp; LE 3rd,,
Premier Ladies,Beeston Fields 1st,Bingham 1st,Byron 1st,East Leake,Forest 1st,Phoenixwood 1st,West Bridgford &amp; LE,,
