Mens Div 1,Beeston Fields 1st,Bingham 3rd,Carlton 1st,Forest 1st,Mapperley Park 1st,Mapperley Park 2nd,Rolls Royce 2nd,University 2nd,
Mens Div 2A,Forest 2nd,Bingham 4th,Nottingham Vets 1st,Mapperley Park 3rd,Naseeb 1st,Rolls Royce 3rd,University 4th,,
Premier Mixed,Bingham 1st,Bingham 2nd,Byron 1st,Byron 2nd,Mapperley Park 1st,University 1st,West Bridgford &amp; LE 1st,West Bridgford &amp; LE 2nd,
Mixed Div 1,Beeston Fields 1st,Bingham 3rd,Forest 1st,Forest 2nd,Mansfield Oaktree,Mapperley Park 2nd,Phoenixwood 1st,University 2nd,
Mixed Div 2B,Bingham 5th,Byron 3rd,Forest 3rd,Mapperley Park 3rd,Phoenixwood 2nd,Rolls Royce,West Bridgford &amp; LE 3rd,,
Mixed Div 4A,Beeston Valley 2nd,Carlton 2nd,Crusader 2nd,East Leake 3rd,Mapperley Park 5th,Phoenixwood 4th,Redhill 1st,,
Mixed Div 4B,Beeston Fields 4th,Byron 4th,Carlton 3rd,Mapperley Park 4th,Southwell Centre 2nd,University 4th,University Staff,,
Ladies Division 1,Bingham 2nd,Bingham 3rd,Mansfield Oaktree,Mapperley Park 1st,Nottingham Vets 1st,Rolls Royce,University 1st,,
Ladies Division 2,Carlton 1st,Crusader,Forest 2nd,Mapperley Park 2nd,Nottingham Vets 2nd,Phoenixwood 2nd,Southwell Centre,,
